U, real, imaginary, magnitude, phase
65,-0.0580980174561484,-0.001426226275808748,0.05811552076446301,0.02454369260617038
66,0.05618772301532305,0.002760325827462228,0.056255485210958925,0.04908738521234079
67,-0.053142393045038094,-0.003920018412709819,0.05328677587271815,0.07363107781851119
68,0.04915407681649789,0.0048412540063827525,0.049391912374765284,0.0981747704246815
69,-0.044462679206582985,-0.005483948427253621,0.044799592995699015,0.12271846303085193
70,0.03933217102788169,0.005834376431448044,0.03976254048863544,0.14726215563702244
71,-0.03402629296048746,-0.005904121906117456,0.03453472553988542,0.17180584824319273
72,0.028786817896750135,0.005726054097169708,0.029350785000479423,0.19634954084936312
73,-0.023816750843101836,-0.005348230249353619,0.024409858408489245,0.22089323345553358
74,0.01926985081511716,0.0048268463540186764,0.019865185530524875,0.24543692606170406
75,-0.015246773672115733,-0.004219350524470129,0.01581983015891978,0.26998061866787776
76,0.011797166113331082,0.0035786312164439336,0.012328005908857853,0.2945243112740454
77,-0.008926342288586674,-0.0029488651750507293,0.009400818712943982,0.3190680038802127
78,0.00660482019293178,0.0023632424532847125,0.007014881657873249,0.3436116964863867
79,-0.00477897919042363,-0.0018434556970703176,0.005122203725894071,0.3681553890925578
80,0.0033813530768999024,0.0014006023036239306,0.0036599501968711404,0.39269908169872314
81,-0.002339489965001076,-0.0010370245795385763,0.00255902975264218,0.41724277430489226
82,0.0015827802252264878,7.485992945094587E-4,0.0017508838182780922,0.44178646691106466
83,-0.0010470843922691995,-5.27057991188341E-4,0.0011722524688006625,0.4663301595172157
84,6.773242410696078E-4,3.620373495010718E-4,7.68009876221837E-4,0.4908738521233453
85,-4.2840735902057814E-4,-2.426897712033187E-4,4.9237301947782E-4,0.515417544729531
86,2.64943543663034E-4,1.5880104879957555E-4,3.0888971240326406E-4,0.5399612373357551
87,-1.6020491389264242E-4,-1.0144864287983904E-4,1.8962447515421128E-4,0.564504929941891
88,9.471387122691707E-5,6.328578546846378E-5,1.1391140436826091E-4,0.5890486225480749
89,-5.474633556302011E-5,-3.855671969466147E-5,6.696104756641353E-5,0.6135923151542672
90,3.093768944597815E-5,2.2944954278048928E-5,3.8517678474663344E-5,0.6381360077613578
91,-1.7092221607388176E-5,-1.3338900662805995E-5,2.1681104915761867E-5,0.6626797003628744
92,9.231482537130818E-6,7.576081926223147E-6,1.194224799550722E-5,0.6872233929788993
93,-4.874031033259424E-6,-4.204368083242528E-6,6.4368384702868205E-6,0.7117670855729971
94,2.515523371549004E-6,2.279937486399822E-6,3.394992308489138E-6,0.7363107781839907
95,-1.2690359186605348E-6,-1.2082226346733942E-6,1.7522140559268738E-6,0.7608544708335402
96,6.257812500607787E-7,6.257812500083049E-7,8.849883308776379E-7,0.7853981633555217
97,-3.016487141898867E-7,-3.168315525393376E-7,4.3746334641532997E-7,0.8099418560031141
98,1.421537828797084E-7,1.568425299072765E-7,2.116772948965623E-7,0.8344855489022547
99,-6.549101346248345E-8,-7.592228487487098E-8,1.0026597720545216E-7,0.8590292401667323
100,2.948088924124408E-8,3.592256747018047E-8,4.647099831189523E-8,0.883572933716412
101,-1.2953271698806017E-8,-1.6598083832650127E-8,2.10543020453961E-8,0.9081166286663875
102,5.5590527843382986E-9,7.495514939483915E-9,9.33197792898622E-9,0.9326603160323454
103,-2.3544125393347843E-9,-3.3430089380548114E-9,4.088883364109476E-9,0.9572040102860545
104,1.0157918095840316E-9,1.5202398302184906E-9,1.8283769145886597E-9,0.9817476903685076
105,-4.64584022765243E-10,-7.336584678235707E-10,8.683853186333617E-10,1.006291472976283
106,2.1650336157568436E-10,3.6121373485681884E-10,4.2112832702489126E-10,1.0308347212708464
107,-7.82002516951669E-11,-1.3804291681871315E-10,1.5865410883114755E-10,1.0553793017409798
108,-5.018009380613407E-12,-9.388036204933657E-12,1.0644982006986639E-11,0.0
109,3.730659686705854E-11,7.4115729761173E-11,8.297543954588278E-11,0.0
110,-2.2991402373586144E-11,-4.8610641884718096E-11,5.3773590986175095E-11,0.0
111,-1.580350101355224E-11,-3.5651704583097174E-11,3.8997367654314547E-11,0.0
112,4.810026155058711E-11,1.1612393178790655E-10,1.256916970015015E-10,1.178096112493902
113,-5.3556111688953334E-11,-1.3883908870705961E-10,1.4881044873343543E-10,1.2026411551825635
114,3.413102882741583E-11,9.538989823827551E-11,1.0131218986245658E-10,1.227184839577975
115,-8.932398781187829E-12,-2.7039220992472735E-11,2.8476432709627517E-11,0.0
116,-2.4686125167773127E-12,-8.137105689211991E-12,8.503325041146891E-12,0.0
117,-5.463368762083946E-12,-1.9741127709780874E-11,2.0483176547703556E-11,0.0
118,2.245658840553464E-11,8.965235340749471E-11,9.24220906186282E-11,0.0
119,-3.2909527855822424E-11,-1.4655278056249127E-10,1.5020237852407953E-10,1.349903090291418
120,2.8731249861664387E-11,1.4444107658199722E-10,1.4727087058471466E-10,1.3744458977239251
121,-1.4220922034843477E-11,-8.195722966698745E-11,8.318186171400845E-11,0.0
122,4.32203201037282E-13,2.9121153938792052E-12,2.944013531601904E-12,0.0
123,4.718484837125315E-12,3.82573487204267E-11,3.854722856801142E-11,0.0
124,-1.8385951254290283E-12,-1.8667939514032642E-11,1.8758262119259146E-11,0.0
125,-2.6804789875310497E-12,-3.633814119888252E-11,3.6436869698047865E-11,0.0
126,3.671619326913833E-12,7.47385789359615E-11,7.482871086587498E-11,0.0
127,-1.4724966909955374E-12,-5.998482918891469E-11,6.000289975766391E-11,0.0
